"","name","character_name","type","filename","likelyGender"
"1","Tom Hanks","Woody","Leading Cast","2010_0_Toy Story 3.csv","male"
"2","Tim Allen","Buzz Lightyear","Leading Cast","2010_0_Toy Story 3.csv","male"
"3","Johnny Depp","Mad Hatter","Leading Cast","2010_1_Alice in Wonderland.csv","male"
"4","Alan Rickman","Blue Caterpillar","Leading Cast","2010_1_Alice in Wonderland.csv","male"
"5","Robert Downey, Jr.","Tony Stark","Lead Ensemble Members","2010_2_Iron Man 2.csv","male"
"6","Gwyneth Paltrow","Pepper Potts","Lead Ensemble Members","2010_2_Iron Man 2.csv","female"
"7","Don Cheadle","Lt. Col. James ""Rhodey"" Rhodes","Lead Ensemble Members","2010_2_Iron Man 2.csv","male"
"8","Scarlett Johansson","Natalie Rushman/Natasha Romanoff","Lead Ensemble Members","2010_2_Iron Man 2.csv","female"
"9","Mickey Rourke","Ivan Vanko","Lead Ensemble Members","2010_2_Iron Man 2.csv","male"
"10","Kristen Stewart","Isabella Swan","Leading Cast","2010_3_The Twilight Saga_ Eclipse.csv","female"
"11","Robert Pattinson","Edward Cullen","Leading Cast","2010_3_The Twilight Saga_ Eclipse.csv","male"
"12","Taylor Lautner","Jacob Black","Leading Cast","2010_3_The Twilight Saga_ Eclipse.csv","female"
"13","Emma Watson","Hermione Granger","Leading Cast","2010_4_Harry Potter and the Deathly Hallows_ Part I.csv","female"
"14","Daniel Radcliffe","Harry Potter","Leading Cast","2010_4_Harry Potter and the Deathly Hallows_ Part I.csv","male"
"15","Rupert Grint","Ron Weasley","Leading Cast","2010_4_Harry Potter and the Deathly Hallows_ Part I.csv","male"
"16","Ralph Fiennes","Lord Voldemort","Leading Cast","2010_4_Harry Potter and the Deathly Hallows_ Part I.csv","male"
"17","Leonardo DiCaprio","Cobb","Leading Cast","2010_5_Inception.csv","male"
"18","Joseph Gordon-Levitt","Arthur","Leading Cast","2010_5_Inception.csv","male"
"19","Elliot Page","Ariadne","Leading Cast","2010_5_Inception.csv","male"
"20","Steve Carell","Gru","Leading Cast","2010_6_Despicable Me.csv","male"
"21","Miranda Cosgrove","Margo","Leading Cast","2010_6_Despicable Me.csv","female"
"22","Dana Gaier","Edith","Leading Cast","2010_6_Despicable Me.csv","female"
"23","Elsie Fisher","Agnes","Leading Cast","2010_6_Despicable Me.csv","female"
"24","Mike Myers","Shrek","Leading Cast","2010_7_Shrek Forever After.csv","male"
"25","Eddie Murphy","Donkey","Leading Cast","2010_7_Shrek Forever After.csv","male"
"26","Cameron Diaz","Princess Fiona","Leading Cast","2010_7_Shrek Forever After.csv","male"
"27","Antonio Banderas","Puss-in-Boots","Leading Cast","2010_7_Shrek Forever After.csv","male"
"28","Jay Baruchel","Hiccup","Leading Cast","2010_8_How to Train Your Dragon.csv","male"
"29","Zachary Levi","Flynn Rider","Leading Cast","2010_9_Tangled.csv","male"
"30","Mandy Moore","Rapunzel","Leading Cast","2010_9_Tangled.csv","female"
"31","Ralph Fiennes","Lord Voldemort","Leading Cast","2011_0_Harry Potter and the Deathly Hallows_ Part II.csv","male"
"32","Daniel Radcliffe","Harry Potter","Leading Cast","2011_0_Harry Potter and the Deathly Hallows_ Part II.csv","male"
"33","Rupert Grint","Ron Weasley","Leading Cast","2011_0_Harry Potter and the Deathly Hallows_ Part II.csv","male"
"34","Emma Watson","Hermione Granger","Leading Cast","2011_0_Harry Potter and the Deathly Hallows_ Part II.csv","female"
"35","Shia LaBeouf","Sam Witwicky","Leading Cast","2011_1_Transformers_ Dark of the Moon.csv","female"
"36","Kristen Stewart","Bella Swan","Leading Cast","2011_2_The Twilight Saga_ Breaking Dawn, Part 1.csv","female"
"37","Robert Pattinson","Edward Cullen","Leading Cast","2011_2_The Twilight Saga_ Breaking Dawn, Part 1.csv","male"
"38","Taylor Lautner","Jacob Black","Leading Cast","2011_2_The Twilight Saga_ Breaking Dawn, Part 1.csv","female"
"39","Bradley Cooper","Phil","Leading Cast","2011_3_The Hangover Part II.csv","male"
"40","Ed Helms","Stu","Leading Cast","2011_3_The Hangover Part II.csv","male"
"41","Zach Galifianakis","Alan","Leading Cast","2011_3_The Hangover Part II.csv","male"
"42","Justin Bartha","Doug","Leading Cast","2011_3_The Hangover Part II.csv","male"
"43","Johnny Depp","Captain Jack Sparrow","Leading Cast","2011_4_Pirates of the Caribbean_ On Stranger Tides.csv","male"
"44","Penélope Cruz","Angelica","Leading Cast","2011_4_Pirates of the Caribbean_ On Stranger Tides.csv","female"
"45","Geoffrey Rush","Barbossa","Leading Cast","2011_4_Pirates of the Caribbean_ On Stranger Tides.csv","male"
"46","Ian McShane","Blackbeard","Leading Cast","2011_4_Pirates of the Caribbean_ On Stranger Tides.csv","male"
"47","Vin Diesel","Dominic Toretto","Leading Cast","2011_5_Fast Five.csv","male"
"48","Paul Walker","Brian O'Conner","Leading Cast","2011_5_Fast Five.csv","male"
"49","Dwayne Johnson","Hobbs","Leading Cast","2011_5_Fast Five.csv","male"
"50","Tom Cruise","Ethan Hunt","Lead Ensemble Members","2011_6_Mission_ Impossible—Ghost Protocol.csv","male"
"51","Paula Patton","Agent Jane Carter","Lead Ensemble Members","2011_6_Mission_ Impossible—Ghost Protocol.csv","female"
"52","Simon Pegg","Benju Dunn","Lead Ensemble Members","2011_6_Mission_ Impossible—Ghost Protocol.csv","male"
"53","Jeremy Renner","Agent William Brandt","Lead Ensemble Members","2011_6_Mission_ Impossible—Ghost Protocol.csv","male"
"54","Michael Nyqvist","Kurt Hendricks","Lead Ensemble Members","2011_6_Mission_ Impossible—Ghost Protocol.csv","male"
"55","Lea Seydoux","Sabine Moreau","Lead Ensemble Members","2011_6_Mission_ Impossible—Ghost Protocol.csv","female"
"56","Josh Holloway","Trevor Hanaway","Lead Ensemble Members","2011_6_Mission_ Impossible—Ghost Protocol.csv","male"
"57","Anil Kapoor","Indian Communication Magnate","Lead Ensemble Members","2011_6_Mission_ Impossible—Ghost Protocol.csv","male"
"58","Vladimir Mashkov","Anatoly Sidirov","Lead Ensemble Members","2011_6_Mission_ Impossible—Ghost Protocol.csv","male"
"59","Tom Wilkinson","IMF secretary","Lead Ensemble Members","2011_6_Mission_ Impossible—Ghost Protocol.csv","male"
"60","Dan Whitney","Mater","Leading Cast","2011_7_Cars 2.csv","male"
"61","Owen Wilson","Lightning McQueen","Leading Cast","2011_7_Cars 2.csv","male"
"62","Michael Caine","Finn McMissle","Leading Cast","2011_7_Cars 2.csv","male"
"63","Emily Mortimer","Holley Shiftwell","Leading Cast","2011_7_Cars 2.csv","female"
"64","Robert Downey, Jr.","Sherlock Holmes","Leading Cast","2011_8_Sherlock Holmes_ A Game of Shadows.csv","male"
"65","Jude Law","Dr. John Watson","Leading Cast","2011_8_Sherlock Holmes_ A Game of Shadows.csv","male"
"66","Noomi Rapace","Madam Simza Heron","Leading Cast","2011_8_Sherlock Holmes_ A Game of Shadows.csv","female"
"67","Rachel McAdams","Irene Adler","Leading Cast","2011_8_Sherlock Holmes_ A Game of Shadows.csv","female"
"68","Jared Harris","Professor James Moriarty","Leading Cast","2011_8_Sherlock Holmes_ A Game of Shadows.csv","male"
"69","Chris Hemsworth","Thor","Lead Ensemble Members","2011_9_Thor.csv","male"
"70","Natalie Portman","Jane Foster","Lead Ensemble Members","2011_9_Thor.csv","female"
"71","Tom Hiddleston","Loki","Lead Ensemble Members","2011_9_Thor.csv","male"
"72","Anthony Hopkins","Odin","Lead Ensemble Members","2011_9_Thor.csv","male"
"73","Idris Elba","Heimdall","Lead Ensemble Members","2011_9_Thor.csv","male"
"74","Tom Hiddleston","Loki","Leading Cast","2012_0_The Avengers.csv","male"
"75","Robert Downey, Jr.","Tony Stark/Iron Man","Lead Ensemble Members","2012_0_The Avengers.csv","male"
"76","Chris Evans","Steve Rogers / Captain America","Lead Ensemble Members","2012_0_The Avengers.csv","male"
"77","Mark Ruffalo","Bruce Banner / The Hulk","Lead Ensemble Members","2012_0_The Avengers.csv","male"
"78","Chris Hemsworth","Thor","Lead Ensemble Members","2012_0_The Avengers.csv","male"
"79","Scarlett Johansson","Natasha Romanoff / Black Widow","Lead Ensemble Members","2012_0_The Avengers.csv","female"
"80","Jeremy Renner","Clint Barton / Hawkeye","Lead Ensemble Members","2012_0_The Avengers.csv","male"
"81","Samuel L. Jackson","Nick Fury","Lead Ensemble Members","2012_0_The Avengers.csv","male"
"82","Christian Bale","Bruce Wayne/Batman","Leading Cast","2012_1_The Dark Knight Rises.csv","male"
"83","Jennifer Lawrence","Katniss Everdeen","Leading Cast","2012_2_The Hunger Games.csv","female"
"84","Daniel Craig","James Bond","Leading Cast","2012_3_Skyfall.csv","male"
"85","Javier Bardem","Silva","Leading Cast","2012_3_Skyfall.csv","male"
"86","Martin Freeman","Bilbo","Leading Cast","2012_4_The Hobbit_ An Unexpected Journey.csv","male"
"87","Kristen Stewart","Bella Swan","Leading Cast","2012_5_The Twilight Saga_ Breaking Dawn, Part 2.csv","female"
"88","Robert Pattinson","Edward Cullen","Leading Cast","2012_5_The Twilight Saga_ Breaking Dawn, Part 2.csv","male"
"89","Taylor Lautner","Jacob Black","Leading Cast","2012_5_The Twilight Saga_ Breaking Dawn, Part 2.csv","female"
"90","Andrew Garfield","Peter Parker / Spider-Man","Leading Cast","2012_6_The Amazing Spider-Man.csv","male"
"91","Kelly Macdonald","Merida","Lead Ensemble Members","2012_7_Brave.csv","female"
"92","Billy Connolly","King Fergus","Lead Ensemble Members","2012_7_Brave.csv","male"
"93","Emma Thompson","Queen Elinor","Lead Ensemble Members","2012_7_Brave.csv","female"
"94","Julie Walters","Witch","Lead Ensemble Members","2012_7_Brave.csv","female"
"95","Robbie Coltrane","Lord Dingwall","Lead Ensemble Members","2012_7_Brave.csv","male"
"96","Kevin McKidd","Lord MacGuffin","Lead Ensemble Members","2012_7_Brave.csv","male"
"97","Craig Ferguson","Lord Macintosh","Lead Ensemble Members","2012_7_Brave.csv","male"
"98","Mark Wahlberg","John Bennett","Leading Cast","2012_8_Ted.csv","male"
"99","Seth MacFarlane","Ted","Leading Cast","2012_8_Ted.csv","male"
"100","Ben Stiller","Alex","Lead Ensemble Members","2012_9_Madagascar 3_ Europe's Most Wanted.csv","male"
"101","Chris Rock","Marty","Lead Ensemble Members","2012_9_Madagascar 3_ Europe's Most Wanted.csv","male"
"102","David Schwimmer","Melman","Lead Ensemble Members","2012_9_Madagascar 3_ Europe's Most Wanted.csv","male"
"103","Jada Pinkett Smith","Gloria","Lead Ensemble Members","2012_9_Madagascar 3_ Europe's Most Wanted.csv","female"
"104","Sacha Baron Cohen","King Julian XII","Lead Ensemble Members","2012_9_Madagascar 3_ Europe's Most Wanted.csv","female"
"105","Cedric the Entertainer","Maurice","Lead Ensemble Members","2012_9_Madagascar 3_ Europe's Most Wanted.csv","male"
"106","Andy Richter","Mort","Lead Ensemble Members","2012_9_Madagascar 3_ Europe's Most Wanted.csv","male"
"107","Frances McDormand","Captain Chantel DuBois","Lead Ensemble Members","2012_9_Madagascar 3_ Europe's Most Wanted.csv","female"
"108","Tom McGrath","Skipper","Lead Ensemble Members","2012_9_Madagascar 3_ Europe's Most Wanted.csv","male"
"109","Jennifer Lawrence","Katniss Everdeen","Leading Cast","2013_0_The Hunger Games_ Catching Fire.csv","female"
"110","Robert Downey, Jr.","Tony Stark/Iron Man","Lead Ensemble Members","2013_1_Iron Man 3.csv","male"
"111","Gwyneth Paltrow","Pepper Potts","Lead Ensemble Members","2013_1_Iron Man 3.csv","female"
"112","Don Cheadle","James 'Rhodey' Rhodes","Lead Ensemble Members","2013_1_Iron Man 3.csv","male"
"113","Guy Pearce","Aldrich Killian","Lead Ensemble Members","2013_1_Iron Man 3.csv","male"
"114","Ben Kingsley","The Mandarin","Lead Ensemble Members","2013_1_Iron Man 3.csv","male"
"115","Kristen Bell","Anna","Lead Ensemble Members","2013_2_Frozen.csv","female"
"116","Idina Menzel","Elsa","Lead Ensemble Members","2013_2_Frozen.csv","female"
"117","Jonathan Groff","Kristoff","Lead Ensemble Members","2013_2_Frozen.csv","male"
"118","Josh Gad","Olaf","Lead Ensemble Members","2013_2_Frozen.csv","male"
"119","Santino Fontana","Hans","Lead Ensemble Members","2013_2_Frozen.csv","male"
"120","Alan Tudyk","Duke of Weselton","Lead Ensemble Members","2013_2_Frozen.csv","male"
"121","Steve Carell","Gru","Leading Cast","2013_3_Despicable Me 2.csv","male"
"122","Kristen Wiig","Lucy","Leading Cast","2013_3_Despicable Me 2.csv","female"
"123","Henry Cavill","Clark Kent/Kal-El","Leading Cast","2013_4_Man of Steel.csv","male"
"124","Michael Shannon","General Zod","Leading Cast","2013_4_Man of Steel.csv","male"
"125","Sandra Bullock","Ryan Stone","Leading Cast","2013_5_Gravity.csv","female"
"126","George Clooney","Matt Kowalski","Leading Cast","2013_5_Gravity.csv","male"
"127","Billy Crystal","Mike","Leading Cast","2013_6_Monsters University.csv","male"
"128","John Goodman","Sullivan","Leading Cast","2013_6_Monsters University.csv","male"
"129","Martin Freeman","Bilbo Baggins","Leading Cast","2013_7_The Hobbit_ The Desolation of Smaug.csv","male"
"130","Vin Diesel","Dominic Toretto","Leading Cast","2013_8_Fast and Furious 6.csv","male"
"131","Michelle Rodriguez","Letty","Leading Cast","2013_8_Fast and Furious 6.csv","female"
"132","Paul Walker","Brian O'Conner","Leading Cast","2013_8_Fast and Furious 6.csv","male"
"133","Dwayne Johnson","Hobbs","Leading Cast","2013_8_Fast and Furious 6.csv","male"
"134","Jordana Brewster","Mia","Leading Cast","2013_8_Fast and Furious 6.csv","female"
"135","James Franco","Oz","Lead Ensemble Members","2013_9_Oz the Great and Powerful.csv","male"
"136","Mila Kunis","Theodora/Wicked Witch of the West","Lead Ensemble Members","2013_9_Oz the Great and Powerful.csv","female"
"137","Rachel Weisz","Evanora","Lead Ensemble Members","2013_9_Oz the Great and Powerful.csv","female"
"138","Michelle Williams","Annie/Glinda","Lead Ensemble Members","2013_9_Oz the Great and Powerful.csv","female"
"139","Zach Braff","Frank/Finley","Lead Ensemble Members","2013_9_Oz the Great and Powerful.csv","male"
"140","Joey King","Girl in Wheelchair/China Girl","Lead Ensemble Members","2013_9_Oz the Great and Powerful.csv","male"
"141","Bradley Cooper","Chris Kyle","Leading Cast","2014_0_American Sniper.csv","male"
"142","Sienna Miller","Taya","Leading Cast","2014_0_American Sniper.csv","female"
"143","Jennifer Lawrence","Katniss Everdeen","Leading Cast","2014_1_The Hunger Games_ Mockingjay - Part 1.csv","female"
"144","Chris Pratt","Peter Quill","Lead Ensemble Members","2014_2_Guardians of the Galaxy.csv","male"
"145","Zoe Saldana","Gamora","Lead Ensemble Members","2014_2_Guardians of the Galaxy.csv","female"
"146","Dave Bautista","Drax","Lead Ensemble Members","2014_2_Guardians of the Galaxy.csv","male"
"147","Vin Diesel","Groot","Lead Ensemble Members","2014_2_Guardians of the Galaxy.csv","male"
"148","Bradley Cooper","Rocket","Lead Ensemble Members","2014_2_Guardians of the Galaxy.csv","male"
"149","Chris Evans","Captain America/Steve Rogers","Lead Ensemble Members","2014_3_Captain America_ The Winter Soldier.csv","male"
"150","Scarlett Johansson","Natasha Romanoff/Black Widow","Lead Ensemble Members","2014_3_Captain America_ The Winter Soldier.csv","female"
"151","Sebastian Stan","Bucky Barnes/Winter Soldier","Lead Ensemble Members","2014_3_Captain America_ The Winter Soldier.csv","male"
"152","Robert Redford","Agent Alexander Pierce","Lead Ensemble Members","2014_3_Captain America_ The Winter Soldier.csv","male"
"153","Samuel L. Jackson","Nick Fury","Lead Ensemble Members","2014_3_Captain America_ The Winter Soldier.csv","male"
"154","Chris Pratt","Emmet","Lead Ensemble Members","2014_4_The Lego Movie.csv","male"
"155","Will Ferrell","President Business","Lead Ensemble Members","2014_4_The Lego Movie.csv","male"
"156","Elizabeth Banks","Wyldstyle/Lucy","Lead Ensemble Members","2014_4_The Lego Movie.csv","female"
"157","Will Arnett","Batman","Lead Ensemble Members","2014_4_The Lego Movie.csv","male"
"158","Alison Brie","Uni-Kitty","Lead Ensemble Members","2014_4_The Lego Movie.csv","female"
"159","Charlie Day","Spaceman Benny","Lead Ensemble Members","2014_4_The Lego Movie.csv","female"
"160","Morgan Freeman","Vitruvius","Lead Ensemble Members","2014_4_The Lego Movie.csv","male"
"161","Jonah Hill","Green Lantern","Lead Ensemble Members","2014_4_The Lego Movie.csv","male"
"162","Channing Tatum","Superman","Lead Ensemble Members","2014_4_The Lego Movie.csv","male"
"163","Cobie Smulders","Wonder Woman","Lead Ensemble Members","2014_4_The Lego Movie.csv","female"
"164","Martin Freeman","Bilbo","Leading Cast","2014_5_The Hobbit_ The Battle of the Five Armies.csv","male"
"165","Mark Wahlberg","Cade Yeager","Leading Cast","2014_6_Transformers_ Age of Extinction.csv","male"
"166","Nicola Peltz","Tessa Yeager","Leading Cast","2014_6_Transformers_ Age of Extinction.csv","female"
"167","Jack Reynor","Shane Dyson","Leading Cast","2014_6_Transformers_ Age of Extinction.csv","male"
"168","Angelina Jolie","Maleficent","Leading Cast","2014_7_Maleficent.csv","female"
"169","Hugh Jackman","Logan / Wolverine","Leading Cast","2014_8_X-Men_ Days of Future Past.csv","male"
"170","James McAvoy","Charles Xavier / Professor X","Leading Cast","2014_8_X-Men_ Days of Future Past.csv","male"
"171","Michael Fassbender","Erik Lehnsherr / Magneto","Leading Cast","2014_8_X-Men_ Days of Future Past.csv","male"
"172","Patrick Stewart","Charles Xavier / Professor X","Leading Cast","2014_8_X-Men_ Days of Future Past.csv","male"
"173","Jennifer Lawrence","Raven Darkhölme / Mystique","Leading Cast","2014_8_X-Men_ Days of Future Past.csv","female"
"174","Ian McKellen","Erik Lehnsherr / Magneto","Leading Cast","2014_8_X-Men_ Days of Future Past.csv","male"
"175","Scott Adsit","Baymax","Leading Cast","2014_9_Big Hero 6.csv","male"
"176","Ryan Potter","Hiro","Leading Cast","2014_9_Big Hero 6.csv","male"
"177","Adam Driver","Kylo Ren","Leading Cast","2015_0_Star Wars Ep. VII_ The Force Awakens.csv","male"
"178","Daisy Ridley","Rey","Leading Cast","2015_0_Star Wars Ep. VII_ The Force Awakens.csv","female"
"179","John Boyega","Finn","Leading Cast","2015_0_Star Wars Ep. VII_ The Force Awakens.csv","male"
"180","Chris Pratt","Owen Grady","Leading Cast","2015_1_Jurassic World.csv","male"
"181","James Spader","Ultron","Leading Cast","2015_2_Avengers_ Age of Ultron.csv","male"
"182","Robert Downey, Jr.","Tony Stark/Iron Man","Lead Ensemble Members","2015_2_Avengers_ Age of Ultron.csv","male"
"183","Chris Hemsworth","Thor","Lead Ensemble Members","2015_2_Avengers_ Age of Ultron.csv","male"
"184","Mark Ruffalo","Bruce Banner / The Hulk","Lead Ensemble Members","2015_2_Avengers_ Age of Ultron.csv","male"
"185","Chris Evans","Steve Rogers / Captain America","Lead Ensemble Members","2015_2_Avengers_ Age of Ultron.csv","male"
"186","Scarlett Johansson","Natasha Romanoff/Black Widow","Lead Ensemble Members","2015_2_Avengers_ Age of Ultron.csv","female"
"187","Jeremy Renner","Clint Barton/Hawkeye","Lead Ensemble Members","2015_2_Avengers_ Age of Ultron.csv","male"
"188","Samuel L. Jackson","Nick Fury","Lead Ensemble Members","2015_2_Avengers_ Age of Ultron.csv","male"
"189","Aaron Taylor-Johnson","Quicksilver","Lead Ensemble Members","2015_2_Avengers_ Age of Ultron.csv","male"
"190","Elizabeth Olsen","Scarlet Witch","Lead Ensemble Members","2015_2_Avengers_ Age of Ultron.csv","female"
"191","Amy Poehler","Joy","Lead Ensemble Members","2015_3_Inside Out.csv","female"
"192","Phyllis Smith","Sadness","Lead Ensemble Members","2015_3_Inside Out.csv","female"
"193","Bill Hader","Fear","Lead Ensemble Members","2015_3_Inside Out.csv","male"
"194","Lewis Black","Anger","Lead Ensemble Members","2015_3_Inside Out.csv","male"
"195","Mindy Kaling","Disgust","Lead Ensemble Members","2015_3_Inside Out.csv","female"
"196","Vin Diesel","Dominic Toretto","Leading Cast","2015_4_Furious 7.csv","male"
"197","Paul Walker","Brian O'Conner","Leading Cast","2015_4_Furious 7.csv","male"
"198","Steve Carell","Young Gru","Leading Cast","2015_5_Minions.csv","male"
"199","Sandra Bullock","Scarlet Overkill","Leading Cast","2015_5_Minions.csv","female"
"200","Jon Hamm","Herb Overkill","Leading Cast","2015_5_Minions.csv","male"
"201","Jennifer Lawrence","Katniss Everdeen","Leading Cast","2015_6_The Hunger Games_ Mockingjay - Part 2.csv","female"
"202","Matt Damon","Mark Watney","Leading Cast","2015_7_The Martian.csv","male"
"203","Lily James","Ella","Leading Cast","2015_8_Cinderella.csv","female"
"204","Daniel Craig","James Bond","Leading Cast","2015_9_Spectre.csv","male"
"205","Felicity Jones","Jyn Erso","Lead Ensemble Members","2016_0_Rogue One_ A Star Wars Story.csv","female"
"206","Diego Luna","Captain Cassian Andor","Lead Ensemble Members","2016_0_Rogue One_ A Star Wars Story.csv","male"
"207","Ben Mendelsohn","Director Orson Krennic","Lead Ensemble Members","2016_0_Rogue One_ A Star Wars Story.csv","male"
"208","Donnie Yen","Chirrut Imwe","Lead Ensemble Members","2016_0_Rogue One_ A Star Wars Story.csv","female"
"209","Mads Mikkelsen","Galen Erso","Lead Ensemble Members","2016_0_Rogue One_ A Star Wars Story.csv","male"
"210","Alan Tudyk","K-2SO","Lead Ensemble Members","2016_0_Rogue One_ A Star Wars Story.csv","male"
"211","Riz Ahmed","Bodhi Rook","Lead Ensemble Members","2016_0_Rogue One_ A Star Wars Story.csv","male"
"212","Ellen DeGeneres","Dory","Leading Cast","2016_1_Finding Dory.csv","female"
"213","Chris Evans","Steve Rogers/Captain America","Lead Ensemble Members","2016_2_Captain America_ Civil War.csv","male"
"214","Robert Downey, Jr.","Tony Stark/Iron Man","Lead Ensemble Members","2016_2_Captain America_ Civil War.csv","male"
"215","Scarlett Johansson","Natasha Romanoff / Black Widow","Lead Ensemble Members","2016_2_Captain America_ Civil War.csv","female"
"216","Sebastian Stan","Bucky Barnes/Winter Soldier","Lead Ensemble Members","2016_2_Captain America_ Civil War.csv","male"
"217","Jeremy Renner","Clint Barton/Hawkeye","Lead Ensemble Members","2016_2_Captain America_ Civil War.csv","male"
"218","Don Cheadle","James Rhodes/War Machine","Lead Ensemble Members","2016_2_Captain America_ Civil War.csv","male"
