"","name","character_name","type","filename","likelyGender","firstName","lastName","raceEthnicity"
"1","Tom Hanks","Woody","Leading Cast","2010_0_Toy Story 3.csv","male","Tom","Hanks","W_NL"
"2","Tim Allen","Buzz Lightyear","Leading Cast","2010_0_Toy Story 3.csv","male","Tim","Allen","W_NL"
"3","Johnny Depp","Mad Hatter","Leading Cast","2010_1_Alice in Wonderland.csv","male","Johnny","Depp","W_NL"
"4","Alan Rickman","Blue Caterpillar","Leading Cast","2010_1_Alice in Wonderland.csv","male","Alan","Rickman","W_NL"
"5","Robert Downey, Jr.","Tony Stark","Lead Ensemble Members","2010_2_Iron Man 2.csv","male","Robert","Downey","W_NL"
"6","Gwyneth Paltrow","Pepper Potts","Lead Ensemble Members","2010_2_Iron Man 2.csv","female","Gwyneth","Paltrow","W_NL"
"7","Don Cheadle","Lt. Col. James ""Rhodey"" Rhodes","Lead Ensemble Members","2010_2_Iron Man 2.csv","male","Don","Cheadle","B_NL"
"8","Scarlett Johansson","Natalie Rushman/Natasha Romanoff","Lead Ensemble Members","2010_2_Iron Man 2.csv","female","Scarlett","Johansson","W_NL"
"9","Mickey Rourke","Ivan Vanko","Lead Ensemble Members","2010_2_Iron Man 2.csv","male","Mickey","Rourke","W_NL"
"10","Kristen Stewart","Isabella Swan","Leading Cast","2010_3_The Twilight Saga_ Eclipse.csv","female","Kristen","Stewart","W_NL"
"11","Robert Pattinson","Edward Cullen","Leading Cast","2010_3_The Twilight Saga_ Eclipse.csv","male","Robert","Pattinson","W_NL"
"12","Taylor Lautner","Jacob Black","Leading Cast","2010_3_The Twilight Saga_ Eclipse.csv","female","Taylor","Lautner","W_NL"
"13","Emma Watson","Hermione Granger","Leading Cast","2010_4_Harry Potter and the Deathly Hallows_ Part I.csv","female","Emma","Watson","B_NL"
"14","Daniel Radcliffe","Harry Potter","Leading Cast","2010_4_Harry Potter and the Deathly Hallows_ Part I.csv","male","Daniel","Radcliffe","W_NL"
"15","Rupert Grint","Ron Weasley","Leading Cast","2010_4_Harry Potter and the Deathly Hallows_ Part I.csv","male","Rupert","Grint","B_NL"
"16","Ralph Fiennes","Lord Voldemort","Leading Cast","2010_4_Harry Potter and the Deathly Hallows_ Part I.csv","male","Ralph","Fiennes","W_NL"
"17","Leonardo DiCaprio","Cobb","Leading Cast","2010_5_Inception.csv","male","Leonardo","DiCaprio","HL"
"18","Joseph Gordon-Levitt","Arthur","Leading Cast","2010_5_Inception.csv","male","Joseph","Gordon-Levitt","W_NL"
"19","Elliot Page","Ariadne","Leading Cast","2010_5_Inception.csv","male","Elliot","Page","B_NL"
"20","Steve Carell","Gru","Leading Cast","2010_6_Despicable Me.csv","male","Steve","Carell","W_NL"
"21","Miranda Cosgrove","Margo","Leading Cast","2010_6_Despicable Me.csv","female","Miranda","Cosgrove","W_NL"
"22","Dana Gaier","Edith","Leading Cast","2010_6_Despicable Me.csv","female","Dana","Gaier","W_NL"
"23","Elsie Fisher","Agnes","Leading Cast","2010_6_Despicable Me.csv","female","Elsie","Fisher","B_NL"
"24","Mike Myers","Shrek","Leading Cast","2010_7_Shrek Forever After.csv","male","Mike","Myers","W_NL"
"25","Eddie Murphy","Donkey","Leading Cast","2010_7_Shrek Forever After.csv","male","Eddie","Murphy","B_NL"
"26","Cameron Diaz","Princess Fiona","Leading Cast","2010_7_Shrek Forever After.csv","male","Cameron","Diaz","HL"
"27","Antonio Banderas","Puss-in-Boots","Leading Cast","2010_7_Shrek Forever After.csv","male","Antonio","Banderas","HL"
"28","Jay Baruchel","Hiccup","Leading Cast","2010_8_How to Train Your Dragon.csv","male","Jay","Baruchel","A"
"29","Zachary Levi","Flynn Rider","Leading Cast","2010_9_Tangled.csv","male","Zachary","Levi","W_NL"
"30","Mandy Moore","Rapunzel","Leading Cast","2010_9_Tangled.csv","female","Mandy","Moore","B_NL"
"31","Ralph Fiennes","Lord Voldemort","Leading Cast","2011_0_Harry Potter and the Deathly Hallows_ Part II.csv","male","Ralph","Fiennes","W_NL"
"32","Daniel Radcliffe","Harry Potter","Leading Cast","2011_0_Harry Potter and the Deathly Hallows_ Part II.csv","male","Daniel","Radcliffe","W_NL"
"33","Rupert Grint","Ron Weasley","Leading Cast","2011_0_Harry Potter and the Deathly Hallows_ Part II.csv","male","Rupert","Grint","B_NL"
"34","Emma Watson","Hermione Granger","Leading Cast","2011_0_Harry Potter and the Deathly Hallows_ Part II.csv","female","Emma","Watson","B_NL"
"35","Shia LaBeouf","Sam Witwicky","Leading Cast","2011_1_Transformers_ Dark of the Moon.csv","female","Shia","LaBeouf","B_NL"
"36","Kristen Stewart","Bella Swan","Leading Cast","2011_2_The Twilight Saga_ Breaking Dawn, Part 1.csv","female","Kristen","Stewart","W_NL"
"37","Robert Pattinson","Edward Cullen","Leading Cast","2011_2_The Twilight Saga_ Breaking Dawn, Part 1.csv","male","Robert","Pattinson","W_NL"
"38","Taylor Lautner","Jacob Black","Leading Cast","2011_2_The Twilight Saga_ Breaking Dawn, Part 1.csv","female","Taylor","Lautner","W_NL"
"39","Bradley Cooper","Phil","Leading Cast","2011_3_The Hangover Part II.csv","male","Bradley","Cooper","W_NL"
"40","Ed Helms","Stu","Leading Cast","2011_3_The Hangover Part II.csv","male","Ed","Helms","W_NL"
"41","Zach Galifianakis","Alan","Leading Cast","2011_3_The Hangover Part II.csv","male","Zach","Galifianakis","W_NL"
"42","Justin Bartha","Doug","Leading Cast","2011_3_The Hangover Part II.csv","male","Justin","Bartha","W_NL"
"43","Johnny Depp","Captain Jack Sparrow","Leading Cast","2011_4_Pirates of the Caribbean_ On Stranger Tides.csv","male","Johnny","Depp","W_NL"
"44","Penélope Cruz","Angelica","Leading Cast","2011_4_Pirates of the Caribbean_ On Stranger Tides.csv","female","Penélope","Cruz","HL"
"45","Geoffrey Rush","Barbossa","Leading Cast","2011_4_Pirates of the Caribbean_ On Stranger Tides.csv","male","Geoffrey","Rush","W_NL"
"46","Ian McShane","Blackbeard","Leading Cast","2011_4_Pirates of the Caribbean_ On Stranger Tides.csv","male","Ian","McShane","W_NL"
"47","Vin Diesel","Dominic Toretto","Leading Cast","2011_5_Fast Five.csv","male","Vin","Diesel","W_NL"
"48","Paul Walker","Brian O'Conner","Leading Cast","2011_5_Fast Five.csv","male","Paul","Walker","B_NL"
"49","Dwayne Johnson","Hobbs","Leading Cast","2011_5_Fast Five.csv","male","Dwayne","Johnson","B_NL"
"50","Tom Cruise","Ethan Hunt","Lead Ensemble Members","2011_6_Mission_ Impossible—Ghost Protocol.csv","male","Tom","Cruise","W_NL"
"51","Paula Patton","Agent Jane Carter","Lead Ensemble Members","2011_6_Mission_ Impossible—Ghost Protocol.csv","female","Paula","Patton","W_NL"
"52","Simon Pegg","Benju Dunn","Lead Ensemble Members","2011_6_Mission_ Impossible—Ghost Protocol.csv","male","Simon","Pegg","W_NL"
"53","Jeremy Renner","Agent William Brandt","Lead Ensemble Members","2011_6_Mission_ Impossible—Ghost Protocol.csv","male","Jeremy","Renner","W_NL"
"54","Michael Nyqvist","Kurt Hendricks","Lead Ensemble Members","2011_6_Mission_ Impossible—Ghost Protocol.csv","male","Michael","Nyqvist","W_NL"
"55","Lea Seydoux","Sabine Moreau","Lead Ensemble Members","2011_6_Mission_ Impossible—Ghost Protocol.csv","female","Lea","Seydoux","W_NL"
"56","Josh Holloway","Trevor Hanaway","Lead Ensemble Members","2011_6_Mission_ Impossible—Ghost Protocol.csv","male","Josh","Holloway","B_NL"
"57","Anil Kapoor","Indian Communication Magnate","Lead Ensemble Members","2011_6_Mission_ Impossible—Ghost Protocol.csv","male","Anil","Kapoor","A"
"58","Vladimir Mashkov","Anatoly Sidirov","Lead Ensemble Members","2011_6_Mission_ Impossible—Ghost Protocol.csv","male","Vladimir","Mashkov","W_NL"
"59","Tom Wilkinson","IMF secretary","Lead Ensemble Members","2011_6_Mission_ Impossible—Ghost Protocol.csv","male","Tom","Wilkinson","B_NL"
"60","Dan Whitney","Mater","Leading Cast","2011_7_Cars 2.csv","male","Dan","Whitney","W_NL"
"61","Owen Wilson","Lightning McQueen","Leading Cast","2011_7_Cars 2.csv","male","Owen","Wilson","B_NL"
"62","Michael Caine","Finn McMissle","Leading Cast","2011_7_Cars 2.csv","male","Michael","Caine","W_NL"
"63","Emily Mortimer","Holley Shiftwell","Leading Cast","2011_7_Cars 2.csv","female","Emily","Mortimer","W_NL"
"64","Robert Downey, Jr.","Sherlock Holmes","Leading Cast","2011_8_Sherlock Holmes_ A Game of Shadows.csv","male","Robert","Downey","W_NL"
"65","Jude Law","Dr. John Watson","Leading Cast","2011_8_Sherlock Holmes_ A Game of Shadows.csv","male","Jude","Law","B_NL"
"66","Noomi Rapace","Madam Simza Heron","Leading Cast","2011_8_Sherlock Holmes_ A Game of Shadows.csv","female","Noomi","Rapace","W_NL"
"67","Rachel McAdams","Irene Adler","Leading Cast","2011_8_Sherlock Holmes_ A Game of Shadows.csv","female","Rachel","McAdams","B_NL"
"68","Jared Harris","Professor James Moriarty","Leading Cast","2011_8_Sherlock Holmes_ A Game of Shadows.csv","male","Jared","Harris","B_NL"
"69","Chris Hemsworth","Thor","Lead Ensemble Members","2011_9_Thor.csv","male","Chris","Hemsworth","W_NL"
"70","Natalie Portman","Jane Foster","Lead Ensemble Members","2011_9_Thor.csv","female","Natalie","Portman","W_NL"
"71","Tom Hiddleston","Loki","Lead Ensemble Members","2011_9_Thor.csv","male","Tom","Hiddleston","W_NL"
"72","Anthony Hopkins","Odin","Lead Ensemble Members","2011_9_Thor.csv","male","Anthony","Hopkins","B_NL"
"73","Idris Elba","Heimdall","Lead Ensemble Members","2011_9_Thor.csv","male","Idris","Elba","W_NL"
"74","Tom Hiddleston","Loki","Leading Cast","2012_0_The Avengers.csv","male","Tom","Hiddleston","W_NL"
"75","Robert Downey, Jr.","Tony Stark/Iron Man","Lead Ensemble Members","2012_0_The Avengers.csv","male","Robert","Downey","W_NL"
"76","Chris Evans","Steve Rogers / Captain America","Lead Ensemble Members","2012_0_The Avengers.csv","male","Chris","Evans","B_NL"
"77","Mark Ruffalo","Bruce Banner / The Hulk","Lead Ensemble Members","2012_0_The Avengers.csv","male","Mark","Ruffalo","W_NL"
"78","Chris Hemsworth","Thor","Lead Ensemble Members","2012_0_The Avengers.csv","male","Chris","Hemsworth","W_NL"
"79","Scarlett Johansson","Natasha Romanoff / Black Widow","Lead Ensemble Members","2012_0_The Avengers.csv","female","Scarlett","Johansson","W_NL"
"80","Jeremy Renner","Clint Barton / Hawkeye","Lead Ensemble Members","2012_0_The Avengers.csv","male","Jeremy","Renner","W_NL"
"81","Samuel L. Jackson","Nick Fury","Lead Ensemble Members","2012_0_The Avengers.csv","male","Samuel","L. Jackson","B_NL"
"82","Christian Bale","Bruce Wayne/Batman","Leading Cast","2012_1_The Dark Knight Rises.csv","male","Christian","Bale","B_NL"
"83","Jennifer Lawrence","Katniss Everdeen","Leading Cast","2012_2_The Hunger Games.csv","female","Jennifer","Lawrence","W_NL"
"84","Daniel Craig","James Bond","Leading Cast","2012_3_Skyfall.csv","male","Daniel","Craig","W_NL"
"85","Javier Bardem","Silva","Leading Cast","2012_3_Skyfall.csv","male","Javier","Bardem","HL"
"86","Martin Freeman","Bilbo","Leading Cast","2012_4_The Hobbit_ An Unexpected Journey.csv","male","Martin","Freeman","W_NL"
"87","Kristen Stewart","Bella Swan","Leading Cast","2012_5_The Twilight Saga_ Breaking Dawn, Part 2.csv","female","Kristen","Stewart","W_NL"
"88","Robert Pattinson","Edward Cullen","Leading Cast","2012_5_The Twilight Saga_ Breaking Dawn, Part 2.csv","male","Robert","Pattinson","W_NL"
"89","Taylor Lautner","Jacob Black","Leading Cast","2012_5_The Twilight Saga_ Breaking Dawn, Part 2.csv","female","Taylor","Lautner","W_NL"
"90","Andrew Garfield","Peter Parker / Spider-Man","Leading Cast","2012_6_The Amazing Spider-Man.csv","male","Andrew","Garfield","W_NL"
"91","Kelly Macdonald","Merida","Lead Ensemble Members","2012_7_Brave.csv","female","Kelly","Macdonald","W_NL"
"92","Billy Connolly","King Fergus","Lead Ensemble Members","2012_7_Brave.csv","male","Billy","Connolly","W_NL"
"93","Emma Thompson","Queen Elinor","Lead Ensemble Members","2012_7_Brave.csv","female","Emma","Thompson","B_NL"
"94","Julie Walters","Witch","Lead Ensemble Members","2012_7_Brave.csv","female","Julie","Walters","W_NL"
"95","Robbie Coltrane","Lord Dingwall","Lead Ensemble Members","2012_7_Brave.csv","male","Robbie","Coltrane","B_NL"
"96","Kevin McKidd","Lord MacGuffin","Lead Ensemble Members","2012_7_Brave.csv","male","Kevin","McKidd","B_NL"
"97","Craig Ferguson","Lord Macintosh","Lead Ensemble Members","2012_7_Brave.csv","male","Craig","Ferguson","W_NL"
"98","Mark Wahlberg","John Bennett","Leading Cast","2012_8_Ted.csv","male","Mark","Wahlberg","W_NL"
"99","Seth MacFarlane","Ted","Leading Cast","2012_8_Ted.csv","male","Seth","MacFarlane","W_NL"
"100","Ben Stiller","Alex","Lead Ensemble Members","2012_9_Madagascar 3_ Europe's Most Wanted.csv","male","Ben","Stiller","W_NL"
"101","Chris Rock","Marty","Lead Ensemble Members","2012_9_Madagascar 3_ Europe's Most Wanted.csv","male","Chris","Rock","W_NL"
"102","David Schwimmer","Melman","Lead Ensemble Members","2012_9_Madagascar 3_ Europe's Most Wanted.csv","male","David","Schwimmer","W_NL"
"103","Jada Pinkett Smith","Gloria","Lead Ensemble Members","2012_9_Madagascar 3_ Europe's Most Wanted.csv","female","Jada","Pinkett Smith","B_NL"
"104","Sacha Baron Cohen","King Julian XII","Lead Ensemble Members","2012_9_Madagascar 3_ Europe's Most Wanted.csv","female","Sacha","Baron Cohen","W_NL"
"105","Cedric the Entertainer","Maurice","Lead Ensemble Members","2012_9_Madagascar 3_ Europe's Most Wanted.csv","male","Cedric","the Entertainer","B_NL"
"106","Andy Richter","Mort","Lead Ensemble Members","2012_9_Madagascar 3_ Europe's Most Wanted.csv","male","Andy","Richter","W_NL"
"107","Frances McDormand","Captain Chantel DuBois","Lead Ensemble Members","2012_9_Madagascar 3_ Europe's Most Wanted.csv","female","Frances","McDormand","B_NL"
"108","Tom McGrath","Skipper","Lead Ensemble Members","2012_9_Madagascar 3_ Europe's Most Wanted.csv","male","Tom","McGrath","W_NL"
"109","Jennifer Lawrence","Katniss Everdeen","Leading Cast","2013_0_The Hunger Games_ Catching Fire.csv","female","Jennifer","Lawrence","W_NL"
"110","Robert Downey, Jr.","Tony Stark/Iron Man","Lead Ensemble Members","2013_1_Iron Man 3.csv","male","Robert","Downey","W_NL"
"111","Gwyneth Paltrow","Pepper Potts","Lead Ensemble Members","2013_1_Iron Man 3.csv","female","Gwyneth","Paltrow","W_NL"
"112","Don Cheadle","James 'Rhodey' Rhodes","Lead Ensemble Members","2013_1_Iron Man 3.csv","male","Don","Cheadle","B_NL"
"113","Guy Pearce","Aldrich Killian","Lead Ensemble Members","2013_1_Iron Man 3.csv","male","Guy","Pearce","W_NL"
"114","Ben Kingsley","The Mandarin","Lead Ensemble Members","2013_1_Iron Man 3.csv","male","Ben","Kingsley","W_NL"
"115","Kristen Bell","Anna","Lead Ensemble Members","2013_2_Frozen.csv","female","Kristen","Bell","W_NL"
"116","Idina Menzel","Elsa","Lead Ensemble Members","2013_2_Frozen.csv","female","Idina","Menzel","W_NL"
"117","Jonathan Groff","Kristoff","Lead Ensemble Members","2013_2_Frozen.csv","male","Jonathan","Groff","W_NL"
"118","Josh Gad","Olaf","Lead Ensemble Members","2013_2_Frozen.csv","male","Josh","Gad","A"
"119","Santino Fontana","Hans","Lead Ensemble Members","2013_2_Frozen.csv","male","Santino","Fontana","HL"
"120","Alan Tudyk","Duke of Weselton","Lead Ensemble Members","2013_2_Frozen.csv","male","Alan","Tudyk","W_NL"
"121","Steve Carell","Gru","Leading Cast","2013_3_Despicable Me 2.csv","male","Steve","Carell","W_NL"
"122","Kristen Wiig","Lucy","Leading Cast","2013_3_Despicable Me 2.csv","female","Kristen","Wiig","W_NL"
"123","Henry Cavill","Clark Kent/Kal-El","Leading Cast","2013_4_Man of Steel.csv","male","Henry","Cavill","W_NL"
"124","Michael Shannon","General Zod","Leading Cast","2013_4_Man of Steel.csv","male","Michael","Shannon","W_NL"
"125","Sandra Bullock","Ryan Stone","Leading Cast","2013_5_Gravity.csv","female","Sandra","Bullock","W_NL"
"126","George Clooney","Matt Kowalski","Leading Cast","2013_5_Gravity.csv","male","George","Clooney","W_NL"
"127","Billy Crystal","Mike","Leading Cast","2013_6_Monsters University.csv","male","Billy","Crystal","W_NL"
"128","John Goodman","Sullivan","Leading Cast","2013_6_Monsters University.csv","male","John","Goodman","W_NL"
"129","Martin Freeman","Bilbo Baggins","Leading Cast","2013_7_The Hobbit_ The Desolation of Smaug.csv","male","Martin","Freeman","W_NL"
"130","Vin Diesel","Dominic Toretto","Leading Cast","2013_8_Fast and Furious 6.csv","male","Vin","Diesel","W_NL"
"131","Michelle Rodriguez","Letty","Leading Cast","2013_8_Fast and Furious 6.csv","female","Michelle","Rodriguez","HL"
"132","Paul Walker","Brian O'Conner","Leading Cast","2013_8_Fast and Furious 6.csv","male","Paul","Walker","B_NL"
"133","Dwayne Johnson","Hobbs","Leading Cast","2013_8_Fast and Furious 6.csv","male","Dwayne","Johnson","B_NL"
"134","Jordana Brewster","Mia","Leading Cast","2013_8_Fast and Furious 6.csv","female","Jordana","Brewster","W_NL"
"135","James Franco","Oz","Lead Ensemble Members","2013_9_Oz the Great and Powerful.csv","male","James","Franco","HL"
"136","Mila Kunis","Theodora/Wicked Witch of the West","Lead Ensemble Members","2013_9_Oz the Great and Powerful.csv","female","Mila","Kunis","W_NL"
"137","Rachel Weisz","Evanora","Lead Ensemble Members","2013_9_Oz the Great and Powerful.csv","female","Rachel","Weisz","W_NL"
"138","Michelle Williams","Annie/Glinda","Lead Ensemble Members","2013_9_Oz the Great and Powerful.csv","female","Michelle","Williams","B_NL"
"139","Zach Braff","Frank/Finley","Lead Ensemble Members","2013_9_Oz the Great and Powerful.csv","male","Zach","Braff","W_NL"
"140","Joey King","Girl in Wheelchair/China Girl","Lead Ensemble Members","2013_9_Oz the Great and Powerful.csv","male","Joey","King","B_NL"
"141","Bradley Cooper","Chris Kyle","Leading Cast","2014_0_American Sniper.csv","male","Bradley","Cooper","W_NL"
"142","Sienna Miller","Taya","Leading Cast","2014_0_American Sniper.csv","female","Sienna","Miller","W_NL"
"143","Jennifer Lawrence","Katniss Everdeen","Leading Cast","2014_1_The Hunger Games_ Mockingjay - Part 1.csv","female","Jennifer","Lawrence","W_NL"
"144","Chris Pratt","Peter Quill","Lead Ensemble Members","2014_2_Guardians of the Galaxy.csv","male","Chris","Pratt","W_NL"
"145","Zoe Saldana","Gamora","Lead Ensemble Members","2014_2_Guardians of the Galaxy.csv","female","Zoe","Saldana","HL"
"146","Dave Bautista","Drax","Lead Ensemble Members","2014_2_Guardians of the Galaxy.csv","male","Dave","Bautista","HL"
"147","Vin Diesel","Groot","Lead Ensemble Members","2014_2_Guardians of the Galaxy.csv","male","Vin","Diesel","W_NL"
"148","Bradley Cooper","Rocket","Lead Ensemble Members","2014_2_Guardians of the Galaxy.csv","male","Bradley","Cooper","W_NL"
"149","Chris Evans","Captain America/Steve Rogers","Lead Ensemble Members","2014_3_Captain America_ The Winter Soldier.csv","male","Chris","Evans","B_NL"
"150","Scarlett Johansson","Natasha Romanoff/Black Widow","Lead Ensemble Members","2014_3_Captain America_ The Winter Soldier.csv","female","Scarlett","Johansson","W_NL"
"151","Sebastian Stan","Bucky Barnes/Winter Soldier","Lead Ensemble Members","2014_3_Captain America_ The Winter Soldier.csv","male","Sebastian","Stan","W_NL"
"152","Robert Redford","Agent Alexander Pierce","Lead Ensemble Members","2014_3_Captain America_ The Winter Soldier.csv","male","Robert","Redford","W_NL"
"153","Samuel L. Jackson","Nick Fury","Lead Ensemble Members","2014_3_Captain America_ The Winter Soldier.csv","male","Samuel","L. Jackson","B_NL"
"154","Chris Pratt","Emmet","Lead Ensemble Members","2014_4_The Lego Movie.csv","male","Chris","Pratt","W_NL"
"155","Will Ferrell","President Business","Lead Ensemble Members","2014_4_The Lego Movie.csv","male","Will","Ferrell","B_NL"
"156","Elizabeth Banks","Wyldstyle/Lucy","Lead Ensemble Members","2014_4_The Lego Movie.csv","female","Elizabeth","Banks","B_NL"
"157","Will Arnett","Batman","Lead Ensemble Members","2014_4_The Lego Movie.csv","male","Will","Arnett","W_NL"
"158","Alison Brie","Uni-Kitty","Lead Ensemble Members","2014_4_The Lego Movie.csv","female","Alison","Brie","W_NL"
"159","Charlie Day","Spaceman Benny","Lead Ensemble Members","2014_4_The Lego Movie.csv","female","Charlie","Day","B_NL"
"160","Morgan Freeman","Vitruvius","Lead Ensemble Members","2014_4_The Lego Movie.csv","male","Morgan","Freeman","W_NL"
"161","Jonah Hill","Green Lantern","Lead Ensemble Members","2014_4_The Lego Movie.csv","male","Jonah","Hill","B_NL"
"162","Channing Tatum","Superman","Lead Ensemble Members","2014_4_The Lego Movie.csv","male","Channing","Tatum","B_NL"
"163","Cobie Smulders","Wonder Woman","Lead Ensemble Members","2014_4_The Lego Movie.csv","female","Cobie","Smulders","W_NL"
